Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),CVT Temp (F),Dyn. Adv. Mult (DAM),Feedback Knock (�),Fine Knock Learn (�),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (�),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-19504][2016 USDM WRX CVT][Reflash: Stage1 91 v301.ptm - Realtime: Stage1 91 v301.ptm]
0.000,0.09,14.66,12.98,117,0.438,0.00,0.00,637,438,5,54,4.77,-11.61,175,0.00,0.01,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2922,6.7,0.00,0
0.015,0.09,14.66,12.98,117,0.438,0.00,0.00,637,438,5,54,4.76,-11.59,175,0.00,-0.02,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2923,6.7,0.00,0
0.031,0.09,14.66,12.98,117,0.438,0.00,0.00,642,438,5,54,4.73,-11.56,175,0.00,-0.05,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.02,2922,6.7,0.00,0
0.034,0.09,14.66,12.98,117,0.438,0.00,0.00,642,438,5,54,4.71,-11.53,175,0.00,-0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.02,2921,6.7,0.00,0
0.068,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.67,-11.47,175,0.00,-0.15,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,1.04,2921,6.7,0.00,0
0.073,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.66,-11.49,175,0.00,-0.16,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.96,2920,7.1,0.00,0
0.097,0.09,14.66,12.98,117,0.438,0.00,0.00,648,438,5,55,4.64,-11.50,175,0.00,-0.12,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.96,2920,7.1,0.00,0
0.100,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.59,-11.58,175,0.00,-0.05,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.87,37,0.98,2916,6.7,0.00,0
0.127,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.58,-11.61,175,0.00,-0.03,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2915,6.7,0.00,0
0.130,0.09,14.66,12.98,117,0.438,0.00,0.00,653,438,5,55,4.56,-11.68,175,0.00,-0.02,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2912,6.7,0.00,0
0.156,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.55,-11.68,175,0.00,0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2911,6.7,0.00,0
0.169,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.52,-11.72,175,0.00,0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.92,2909,7.1,0.00,0
0.196,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.51,-11.72,175,0.00,0.10,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.94,2907,7.1,0.00,0
0.210,0.09,14.66,12.98,117,0.438,0.00,0.00,658,438,5,55,4.49,-11.66,175,0.00,0.10,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.94,2908,7.1,0.00,0
0.237,0.09,14.66,12.98,117,0.438,0.00,0.00,664,438,5,55,4.47,-11.65,175,0.00,0.04,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,1.02,2906,6.7,0.00,0
0.276,0.09,14.66,12.98,117,0.438,0.00,0.00,664,438,5,55,4.45,-11.57,175,0.00,0.01,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,1.02,2906,6.7,0.00,0
0.290,0.09,14.66,12.98,117,0.438,0.00,0.00,665,438,5,55,4.42,-11.55,175,0.00,-0.06,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2904,6.7,0.00,0
0.316,0.09,14.66,12.98,117,0.438,0.00,0.00,669,438,5,55,4.40,-11.52,175,0.00,-0.08,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2902,6.7,0.00,0
0.330,0.09,14.66,12.98,117,0.438,0.00,0.00,669,438,5,55,4.38,-11.47,175,0.00,-0.13,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.86,37,0.96,2900,6.7,0.00,0
0.357,0.08,14.66,13.02,117,0.438,0.00,0.00,669,438,5,55,4.36,-11.44,175,0.00,-0.16,1.000,0.00,17.19,22.20,0.0,14.50,181,19.50,1.85,37,0.94,2897,6.7,0.00,0
